Temp(C),Temp (K),ftmprt,sr,xi,xs,ak1,Inter-S,Inter-E,delt,Portions
19.4,292.4,23.34227086,13722063679,1,0.512239653,0.184505909,0.773731662,0.729674188,0,0
19.3,292.3,23.19863154,11886053119,1,0.517501837,0.181744402,0.729674188,0.694414206,0,0
19.7,292.7,23.77259993,21101288284,1,0.496792793,0.193032811,0.694414206,0.659722739,0,0
18.6,291.6,22.19039781,4336779267,1,0.555991369,0.163489784,0.659722739,0.644077474,0,0
18.4,291.4,21.90144132,3248441948,1,0.567541079,0.158604552,0.644077474,0.632852167,0,0
17.2,290.2,20.15933839,568970068.7,0.999999998,0.642438078,0.132094415,0.632852167,0.634038344,0,0
15.8,288.8,18.10858726,73191310.12,0.999999986,0.743366534,0.106507562,0.634038344,0.645083963,0,0
14.8,287.8,16.63154969,16710531.16,0.99999994,0.825745096,0.091208415,0.645083963,0.660832655,0,0
14.3,287.3,15.88917508,7953917.069,0.999999874,0.870535835,0.084369667,0.660832655,0.677799439,0,0
14.1,287.1,15.59150122,5906129.212,0.999999831,0.889170994,0.081773746,0.677799439,0.694396244,0,0
13.1,286.1,14.0968892,1324955.192,0.999999245,0.988943237,0.06989837,0.694396244,0.714281528,0,0
11.2,284.2,11.22814919,75218.25181,0.999986706,1.212887046,0.05172099,0.714281528,0.73941435,0,0
10.1,283.1,9.549699753,14040.47842,0.999928782,1.366744478,0.043364857,0.73941435,0.766037015,0,0
9.5,282.5,8.628672566,5589.653432,0.99982113,1.459313666,0.03936803,0.766037015,0.792799698,0,0
9.7,282.7,8.936116024,7601.615155,0.999868466,1.427736686,0.040659456,0.792799698,0.818098096,0,0
9.3,282.3,8.320793482,4108.418672,0.999756657,1.491635264,0.038115878,0.818098096,0.84328745,0,0
8.7,281.7,7.394533191,1627.065218,0.999385774,1.593256415,0.03458383,0.84328745,0.868780878,0,0
8.8,281.8,7.549183818,1899.192013,0.999473737,1.575820354,0.035149923,0.868780878,0.893201554,0,0
8.4,281.4,6.929921819,1022.414044,0.999022878,1.646807988,0.032937386,0.893201554,0.917619049,0,0
9.8,282.8,9.089674682,8863.302189,0.999887188,1.412221739,0.041320263,0.917619049,0.937639684,0,0
13.4,286.4,14.54636872,2076862.117,0.999999519,0.957815093,0.073275885,0.937639684,0.93906519,0,0
16.1,289.1,18.54970598,113771884,0.999999991,0.720396642,0.111556083,0.93906519,0.915982806,0,0
17.8,290.8,21.03218707,1361955089,0.999999999,0.603752234,0.14477114,0.915982806,0.873900459,0,0
19.8,292.8,23.91584699,24351200681,1,0.491754912,0.195957769,0.873900459,0.805896493,0,0
