Temp(C),Portions
7.7,5.961833375
7.4,5.961833375
6.3,5.961833375
5.1,5.961833375
4.7,5.961833375
5.1,5.961833375
3.6,5.961833375
2.7,5.961833375
2.4,6.309277456
2.5,6.309277456
2.5,6.309277456
3,6.309277456
6.7,6.309277456
10.8,6.309277456
14.6,6.309277456
16.5,6.309277456
17.7,6.309277456
17,6.309277456
16.5,6.309277456
15.8,6.309277456
15.1,6.309277456
13.7,6.309277456
12.2,6.309277456
11.2,6.309277456
10.9,6.309277456
11.2,6.309277456
9.3,6.309277456
8.6,6.309277456
10.2,6.309277456
12,6.309277456
12.4,6.309277456
12,6.309277456
10.8,6.309277456
11.4,6.309277456
10,6.309277456
8.6,7.320051187
12.9,7.320051187
16,7.320051187
17.2,7.320051187
18.4,7.320051187
18.9,7.320051187
19.5,7.320051187
19.7,7.320051187
19.3,7.320051187
17.6,7.320051187
15.4,7.320051187
13.8,7.320051187
13.5,7.320051187
11.4,7.320051187
10,7.320051187
11.9,7.320051187
12.8,7.320051187
12.4,7.320051187
12,7.320051187
10.7,7.320051187
9.3,7.320051187
8.9,7.320051187
9.4,7.320051187
9.8,7.320051187
9.4,7.320051187
12.1,7.320051187
14.7,7.320051187
17.5,7.320051187
18.7,7.320051187
19.1,7.320051187
18.1,7.320051187
18.2,7.320051187
18.1,7.320051187
16.2,7.320051187
14,7.320051187
11.2,7.320051187
9.8,7.320051187
9.3,7.320051187
9.3,7.320051187
9.8,7.320051187
10,7.320051187
9.5,7.320051187
9.8,7.320051187
10.2,7.320051187
11.6,7.320051187
11.8,7.320051187
11.9,7.320051187
12,7.320051187
12.3,7.320051187
13.3,7.320051187
14.9,7.320051187
17.6,7.320051187
17.9,7.320051187
17.7,7.320051187
17.2,7.320051187
17,7.320051187
16.9,7.320051187
16.4,7.320051187
15.2,7.320051187
14.4,7.320051187
14.1,7.320051187
13.5,7.320051187
13,7.320051187
13,7.320051187
13.2,7.320051187
13,7.320051187
12.8,7.320051187
12.5,7.320051187
12.5,7.320051187
12.5,7.320051187
12.1,7.320051187
11.5,7.320051187
10.8,7.320051187
12.5,7.320051187
14.8,7.320051187
16.2,7.320051187
17.2,7.320051187
18.2,7.320051187
18,7.320051187
17.1,7.320051187
16.6,7.320051187
15.6,7.320051187
13.2,7.320051187
10.9,7.320051187
11.4,7.320051187
11.5,7.320051187
11.6,7.320051187
11.7,7.320051187
11.4,7.320051187
11.2,7.320051187
11.5,7.320051187
11.7,7.320051187
11.6,7.320051187
11.4,7.320051187
11.3,7.320051187
10.9,7.320051187
10.5,8.32048662
11.9,8.32048662
13.7,8.32048662
15.3,8.32048662
17,8.32048662
16.9,8.32048662
17,8.32048662
17.5,8.32048662
16.1,8.32048662
15.2,8.32048662
14.5,8.32048662
13.9,8.32048662
13.9,8.32048662
13.3,8.32048662
13.1,8.32048662
12.6,8.32048662
11.4,8.32048662
11.4,8.32048662
11.1,8.32048662
10.4,8.32048662
8.9,8.32048662
9.5,8.32048662
9.6,8.32048662
9.6,8.32048662
10.2,8.32048662
11.5,8.32048662
14.6,8.32048662
16.7,8.32048662
17.6,8.32048662
18,8.32048662
